"altersgruppe";"freq";"date"
"25-34";541;2020-03-22 13:00:00
"35-44";502;2020-03-22 13:00:00
"45-54";720;2020-03-22 13:00:00
"55-64";502;2020-03-22 13:00:00
">64";553;2020-03-22 13:00:00
"<5";7;2020-03-22 13:15:00
"5-14";38;2020-03-22 13:15:00
"15-24";321;2020-03-22 13:15:00
"25-34";543;2020-03-22 13:15:00
"35-44";504;2020-03-22 13:15:00
"45-54";725;2020-03-22 13:15:00
"55-64";504;2020-03-22 13:15:00
">64";553;2020-03-22 13:15:00
"<5";7;2020-03-22 13:30:00
"5-14";38;2020-03-22 13:30:00
"15-24";324;2020-03-22 13:30:00
"25-34";544;2020-03-22 13:30:00
"35-44";507;2020-03-22 13:30:00
"45-54";729;2020-03-22 13:30:00
"55-64";506;2020-03-22 13:30:00
">64";553;2020-03-22 13:30:00
"<5";7;2020-03-22 13:45:00
"5-14";40;2020-03-22 13:45:00
"15-24";325;2020-03-22 13:45:00
"25-34";544;2020-03-22 13:45:00
"35-44";508;2020-03-22 13:45:00
"45-54";731;2020-03-22 13:45:00
"55-64";506;2020-03-22 13:45:00
">64";553;2020-03-22 13:45:00
"<5";7;2020-03-22 14:00:00
"5-14";41;2020-03-22 14:00:00
"15-24";326;2020-03-22 14:00:00
"25-34";544;2020-03-22 14:00:00
"35-44";509;2020-03-22 14:00:00
"45-54";733;2020-03-22 14:00:00
"55-64";507;2020-03-22 14:00:00
">64";553;2020-03-22 14:00:00
"<5";7;2020-03-22 14:15:00
"5-14";42;2020-03-22 14:15:00
"15-24";327;2020-03-22 14:15:00
"25-34";549;2020-03-22 14:15:00
"35-44";516;2020-03-22 14:15:00
"45-54";737;2020-03-22 14:15:00
"55-64";511;2020-03-22 14:15:00
">64";554;2020-03-22 14:15:00
"<5";7;2020-03-22 14:30:00
"5-14";43;2020-03-22 14:30:00
"15-24";327;2020-03-22 14:30:00
"25-34";549;2020-03-22 14:30:00
"35-44";516;2020-03-22 14:30:00
"45-54";737;2020-03-22 14:30:00
"55-64";511;2020-03-22 14:30:00
">64";554;2020-03-22 14:30:00
"<5";7;2020-03-22 14:45:00
"5-14";43;2020-03-22 14:45:00
"15-24";327;2020-03-22 14:45:00
"25-34";549;2020-03-22 14:45:00
"35-44";516;2020-03-22 14:45:00
"45-54";740;2020-03-22 14:45:00
"55-64";513;2020-03-22 14:45:00
">64";557;2020-03-22 14:45:00
"<5";7;2020-03-22 15:00:00
"5-14";44;2020-03-22 15:00:00
"15-24";329;2020-03-22 15:00:00
"25-34";549;2020-03-22 15:00:00
"35-44";520;2020-03-22 15:00:00
"45-54";742;2020-03-22 15:00:00
"55-64";516;2020-03-22 15:00:00
">64";562;2020-03-22 15:00:00
"<5";7;2020-03-22 15:15:00
"5-14";45;2020-03-22 15:15:00
